timestamp,student_id,name,department,grade,double_major_minor_second_speciality,first_choice,second_choice
2025-01-22 00:20:30.635499,1,student_1,資工系 (CS),大一 (freshman),雙主修:資工系 (also major in CS),李教授班,李教授班
2025-01-22 00:20:31.635499,2,student_2,資工系 (CS),大一 (freshman),雙主修:資工系 (also major in CS),李教授班,高教授班
2025-01-22 00:20:32.635499,3,student_3,資工系 (CS),大一 (freshman),雙主修:資工系 (also major in CS),李教授班,無
2025-01-22 00:20:33.635499,4,student_4,資工系 (CS),大一 (freshman),雙主修:資工系 (also major in CS),高教授班,李教授班
2025-01-22 00:20:34.635499,5,student_5,資工系 (CS),大一 (freshman),雙主修:資工系 (also major in CS),高教授班,高教授班
2025-01-22 00:20:35.635499,6,student_6,資工系 (CS),大一 (freshman),雙主修:資工系 (also major in CS),高教授班,無
2025-01-22 00:20:36.635499,7,student_7,資工系 (CS),大一 (freshman),雙主修:資工系 (also major in CS),無,李教授班
2025-01-22 00:20:37.635499,8,student_8,資工系 (CS),大一 (freshman),雙主修:資工系 (also major in CS),無,高教授班
2025-01-22 00:20:38.635499,9,student_9,資工系 (CS),大一 (freshman),雙主修:資工系 (also major in CS),無,無
2025-01-22 00:20:39.635499,10,student_10,資工系 (CS),大一 (freshman),輔系:資工系 (minor in CS),李教授班,李教授班
2025-01-22 00:20:40.635499,11,student_11,資工系 (CS),大一 (freshman),輔系:資工系 (minor in CS),李教授班,高教授班
2025-01-22 00:20:41.635499,12,student_12,資工系 (CS),大一 (freshman),輔系:資工系 (minor in CS),李教授班,無
2025-01-22 00:20:42.635499,13,student_13,資工系 (CS),大一 (freshman),輔系:資工系 (minor in CS),高教授班,李教授班
2025-01-22 00:20:43.635499,14,student_14,資工系 (CS),大一 (freshman),輔系:資工系 (minor in CS),高教授班,高教授班
2025-01-22 00:20:44.635499,15,student_15,資工系 (CS),大一 (freshman),輔系:資工系 (minor in CS),高教授班,無
2025-01-22 00:20:45.635499,16,student_16,資工系 (CS),大一 (freshman),輔系:資工系 (minor in CS),無,李教授班
2025-01-22 00:20:46.635499,17,student_17,資工系 (CS),大一 (freshman),輔系:資工系 (minor in CS),無,高教授班
2025-01-22 00:20:47.635499,18,student_18,資工系 (CS),大一 (freshman),輔系:資工系 (minor in CS),無,無
2025-01-22 00:20:48.635499,19,student_19,資工系 (CS),大一 (freshman),以「資訊工程」為第二專長 (second specialty in Computer Science),李教授班,李教授班
2025-01-22 00:20:49.635499,20,student_20,資工系 (CS),大一 (freshman),以「資訊工程」為第二專長 (second specialty in Computer Science),李教授班,高教授班
2025-01-22 00:20:50.635499,21,student_21,資工系 (CS),大一 (freshman),以「資訊工程」為第二專長 (second specialty in Computer Science),李教授班,無
2025-01-22 00:20:51.635499,22,student_22,資工系 (CS),大一 (freshman),以「資訊工程」為第二專長 (second specialty in Computer Science),高教授班,李教授班
2025-01-22 00:20:52.635499,23,student_23,資工系 (CS),大一 (freshman),以「資訊工程」為第二專長 (second specialty in Computer Science),高教授班,高教授班
2025-01-22 00:20:53.635499,24,student_24,資工系 (CS),大一 (freshman),以「資訊工程」為第二專長 (second specialty in Computer Science),高教授班,無
2025-01-22 00:20:54.635499,25,student_25,資工系 (CS),大一 (freshman),以「資訊工程」為第二專長 (second specialty in Computer Science),無,李教授班
2025-01-22 00:20:55.635499,26,student_26,資工系 (CS),大一 (freshman),以「資訊工程」為第二專長 (second specialty in Computer Science),無,高教授班
2025-01-22 00:20:56.635499,27,student_27,資工系 (CS),大一 (freshman),以「資訊工程」為第二專長 (second specialty in Computer Science),無,無
2025-01-22 00:20:57.635499,28,student_28,資工系 (CS),大一 (freshman),無,李教授班,李教授班
2025-01-22 00:20:58.635499,29,student_29,資工系 (CS),大一 (freshman),無,李教授班,高教授班
2025-01-22 00:20:59.635499,30,student_30,資工系 (CS),大一 (freshman),無,李教授班,無
2025-01-22 00:21:00.635499,31,student_31,資工系 (CS),大一 (freshman),無,高教授班,李教授班
2025-01-22 00:21:01.635499,32,student_32,資工系 (CS),大一 (freshman),無,高教授班,高教授班
2025-01-22 00:21:02.635499,33,student_33,資工系 (CS),大一 (freshman),無,高教授班,無
2025-01-22 00:21:03.635499,34,student_34,資工系 (CS),大一 (freshman),無,無,李教授班
2025-01-22 00:21:04.635499,35,student_35,資工系 (CS),大一 (freshman),無,無,高教授班
2025-01-22 00:21:05.635499,36,student_36,資工系 (CS),大一 (freshman),無,無,無
2025-01-22 00:21:06.635499,37,student_37,資工系 (CS),大二 (sophomore),雙主修:資工系 (also major in CS),李教授班,李教授班
2025-01-22 00:21:07.635499,38,student_38,資工系 (CS),大二 (sophomore),雙主修:資工系 (also major in CS),李教授班,高教授班
2025-01-22 00:21:08.635499,39,student_39,資工系 (CS),大二 (sophomore),雙主修:資工系 (also major in CS),李教授班,無
2025-01-22 00:21:09.635499,40,student_40,資工系 (CS),大二 (sophomore),雙主修:資工系 (also major in CS),高教授班,李教授班
2025-01-22 00:21:10.635499,41,student_41,資工系 (CS),大二 (sophomore),雙主修:資工系 (also major in CS),高教授班,高教授班
2025-01-22 00:21:11.635499,42,student_42,資工系 (CS),大二 (sophomore),雙主修:資工系 (also major in CS),高教授班,無
2025-01-22 00:21:12.635499,43,student_43,資工系 (CS),大二 (sophomore),雙主修:資工系 (also major in CS),無,李教授班
2025-01-22 00:21:13.635499,44,student_44,資工系 (CS),大二 (sophomore),雙主修:資工系 (also major in CS),無,高教授班
2025-01-22 00:21:14.635499,45,student_45,資工系 (CS),大二 (sophomore),雙主修:資工系 (also major in CS),無,無
2025-01-22 00:21:15.635499,46,student_46,資工系 (CS),大二 (sophomore),輔系:資工系 (minor in CS),李教授班,李教授班
2025-01-22 00:21:16.635499,47,student_47,資工系 (CS),大二 (sophomore),輔系:資工系 (minor in CS),李教授班,高教授班
2025-01-22 00:21:17.635499,48,student_48,資工系 (CS),大二 (sophomore),輔系:資工系 (minor in CS),李教授班,無
2025-01-22 00:21:18.635499,49,student_49,資工系 (CS),大二 (sophomore),輔系:資工系 (minor in CS),高教授班,李教授班
2025-01-22 00:21:19.635499,50,student_50,資工系 (CS),大二 (sophomore),輔系:資工系 (minor in CS),高教授班,高教授班
2025-01-22 00:21:20.635499,51,student_51,資工系 (CS),大二 (sophomore),輔系:資工系 (minor in CS),高教授班,無
2025-01-22 00:21:21.635499,52,student_52,資工系 (CS),大二 (sophomore),輔系:資工系 (minor in CS),無,李教授班
2025-01-22 00:21:22.635499,53,student_53,資工系 (CS),大二 (sophomore),輔系:資工系 (minor in CS),無,高教授班
2025-01-22 00:21:23.635499,54,student_54,資工系 (CS),大二 (sophomore),輔系:資工系 (minor in CS),無,無
2025-01-22 00:21:24.635499,55,student_55,資工系 (CS),大二 (sophomore),以「資訊工程」為第二專長 (second specialty in Computer Science),李教授班,李教授班
