timestamp,student_id,name,department,grade,double_major_minor_second_speciality,first_choice,second_choice,weight,result
2025-01-22 00:21:15.635499,46,student_46,資工系 (CS),大二 (sophomore),輔系:資工系 (minor in CS),李教授班,李教授班,10.022297834732116,分發結果: 李教授班
2025-01-22 00:21:12.635499,43,student_43,資工系 (CS),大二 (sophomore),雙主修:資工系 (also major in CS),無,李教授班,10.023285442543692,分發結果: 志願序不符合規定
2025-01-22 00:21:08.635499,39,student_39,資工系 (CS),大二 (sophomore),雙主修:資工系 (also major in CS),李教授班,無,10.121156228872819,分發結果: 李教授班
2025-01-22 00:21:06.635499,37,student_37,資工系 (CS),大二 (sophomore),雙主修:資工系 (also major in CS),李教授班,李教授班,10.12480219993956,分發結果: 李教授班
2025-01-22 00:21:14.635499,45,student_45,資工系 (CS),大二 (sophomore),雙主修:資工系 (also major in CS),無,無,10.12664511607301,分發結果: 志願序不符合規定
2025-01-22 00:21:27.635499,58,student_58,資工系 (CS),大二 (sophomore),以「資訊工程」為第二專長 (second specialty in Computer Science),高教授班,李教授班,10.139849522128415,分發結果: 高教授班
2025-01-22 00:21:09.635499,40,student_40,資工系 (CS),大二 (sophomore),雙主修:資工系 (also major in CS),高教授班,李教授班,10.19579571797928,分發結果: 高教授班
2025-01-22 00:21:20.635499,51,student_51,資工系 (CS),大二 (sophomore),輔系:資工系 (minor in CS),高教授班,無,10.203493339502938,分發結果: 高教授班
2025-01-22 00:21:39.635499,70,student_70,資工系 (CS),大二 (sophomore),無,無,李教授班,10.209763122514918,分發結果: 志願序不符合規定
2025-01-22 00:21:29.635499,60,student_60,資工系 (CS),大二 (sophomore),以「資訊工程」為第二專長 (second specialty in Computer Science),高教授班,無,10.251171651595195,分發結果: 高教授班
2025-01-22 00:21:17.635499,48,student_48,資工系 (CS),大二 (sophomore),輔系:資工系 (minor in CS),李教授班,無,10.347058280665403,分發結果: 李教授班
2025-01-22 00:21:07.635499,38,student_38,資工系 (CS),大二 (sophomore),雙主修:資工系 (also major in CS),李教授班,高教授班,10.381168781912343,分發結果: 李教授班
2025-01-22 00:21:24.635499,55,student_55,資工系 (CS),大二 (sophomore),以「資訊工程」為第二專長 (second specialty in Computer Science),李教授班,李教授班,10.383238583922349,分發結果: 李教授班
2025-01-22 00:21:25.635499,56,student_56,資工系 (CS),大二 (sophomore),以「資訊工程」為第二專長 (second specialty in Computer Science),李教授班,高教授班,10.39839986095916,分發結果: 李教授班
2025-01-22 00:21:30.635499,61,student_61,資工系 (CS),大二 (sophomore),以「資訊工程」為第二專長 (second specialty in Computer Science),無,李教授班,10.424326454301454,分發結果: 志願序不符合規定
2025-01-22 00:21:18.635499,49,student_49,資工系 (CS),大二 (sophomore),輔系:資工系 (minor in CS),高教授班,李教授班,10.442028639084725,分發結果: 高教授班
2025-01-22 00:21:38.635499,69,student_69,資工系 (CS),大二 (sophomore),無,高教授班,無,10.45995724673015,分發結果: 高教授班
2025-01-22 00:21:37.635499,68,student_68,資工系 (CS),大二 (sophomore),無,高教授班,高教授班,10.479902750226659,分發結果: 高教授班
2025-01-22 00:21:16.635499,47,student_47,資工系 (CS),大二 (sophomore),輔系:資工系 (minor in CS),李教授班,高教授班,10.529307436752111,分發結果: 李教授班
2025-01-22 00:21:32.635499,63,student_63,資工系 (CS),大二 (sophomore),以「資訊工程」為第二專長 (second specialty in Computer Science),無,無,10.56505627856499,分發結果: 志願序不符合規定
2025-01-22 00:21:11.635499,42,student_42,資工系 (CS),大二 (sophomore),雙主修:資工系 (also major in CS),高教授班,無,10.576111458637005,分發結果: 高教授班
2025-01-22 00:21:35.635499,66,student_66,資工系 (CS),大二 (sophomore),無,李教授班,無,10.590854897283855,分發結果: 李教授班
2025-01-22 00:21:36.635499,67,student_67,資工系 (CS),大二 (sophomore),無,高教授班,李教授班,10.606255175423577,分發結果: 高教授班
2025-01-22 00:21:13.635499,44,student_44,資工系 (CS),大二 (sophomore),雙主修:資工系 (also major in CS),無,高教授班,10.618462486404896,分發結果: 志願序不符合規定
2025-01-22 00:21:31.635499,62,student_62,資工系 (CS),大二 (sophomore),以「資訊工程」為第二專長 (second specialty in Computer Science),無,高教授班,10.630472511990096,分發結果: 志願序不符合規定
2025-01-22 00:21:40.635499,71,student_71,資工系 (CS),大二 (sophomore),無,無,高教授班,10.649879651538306,分發結果: 志願序不符合規定
2025-01-22 00:21:41.635499,72,student_72,資工系 (CS),大二 (sophomore),無,無,無,10.683674282277671,分發結果: 志願序不符合規定
2025-01-22 00:21:22.635499,53,student_53,資工系 (CS),大二 (sophomore),輔系:資工系 (minor in CS),無,高教授班,10.791992004291373,分發結果: 志願序不符合規定
2025-01-22 00:21:26.635499,57,student_57,資工系 (CS),大二 (sophomore),以「資訊工程」為第二專長 (second specialty in Computer Science),李教授班,無,10.812613136295493,分發結果: 李教授班
